Date,Value,Type
2019-07-23,0.07692307692307693,Top
2019-07-25,0.09090909090909091,Top
2019-07-26,0.1,Top
2019-12-20,0.125,Top
2019-12-24,0.08333333333333333,Top
2020-01-08,0.1,Top
2020-01-09,0.125,Top
2020-01-10,0.16666666666666666,Top
2020-01-13,0.14285714285714285,Top
2020-01-14,0.18181818181818182,Top
2020-01-17,0.07692307692307693,Top
2020-01-21,0.125,Top
2020-01-22,0.15384615384615385,Top
2020-01-23,0.15384615384615385,Top
2020-01-24,0.2222222222222222,Top
2020-01-27,0.08333333333333333,Top
2020-01-28,0.07692307692307693,Top
2020-07-20,0.1,Top
2020-07-21,0.2857142857142857,Top
2020-07-22,0.1111111111111111,Top
2020-07-23,0.07692307692307693,Top
2020-07-27,0.21428571428571427,Top
2020-07-28,0.1,Top
2020-07-31,0.0625,Top
2020-08-04,0.15384615384615385,Top
2020-08-06,0.23076923076923078,Top
2020-08-07,0.2,Top
2020-08-10,0.3333333333333333,Top
2020-08-11,0.08333333333333333,Top
2020-08-12,0.07142857142857142,Top
2020-08-14,0.21428571428571427,Top
2020-08-18,0.09090909090909091,Top
2020-12-09,0.2,Top
2020-12-18,0.1111111111111111,Top
2020-12-21,0.1111111111111111,Top
2021-01-07,0.125,Top
2021-01-14,0.125,Top
2021-01-20,0.1111111111111111,Top
2021-01-21,0.25,Top
2021-01-27,0.125,Top
2021-02-18,0.09090909090909091,Top
2022-03-02,0.07692307692307693,Bottom
2022-05-12,0.07692307692307693,Bottom
2022-05-20,0.15384615384615385,Bottom
2022-07-11,0.1111111111111111,Bottom
2022-07-14,0.14285714285714285,Bottom
2022-07-19,0.125,Bottom
2022-07-20,0.1,Bottom
2022-09-22,0.1,Bottom
2022-09-26,0.16666666666666666,Bottom
2022-10-11,0.14285714285714285,Bottom
2023-06-12,0.18181818181818182,Top
2023-06-13,0.125,Top
2023-06-15,0.14285714285714285,Top
2023-06-16,0.16666666666666666,Top
2024-01-22,0.125,Top
2024-02-05,0.1111111111111111,Top
2024-02-07,0.08333333333333333,Top
2024-02-08,0.25,Top
2024-02-12,0.16666666666666666,Top
2024-02-14,0.5,Top
2024-02-15,0.4444444444444444,Top
2024-02-16,0.4,Top
2024-02-20,0.15384615384615385,Top
2024-02-21,0.16666666666666666,Top
2024-02-22,0.3333333333333333,Top
2024-02-23,0.14285714285714285,Top
2024-02-26,0.125,Top
2024-02-27,0.14285714285714285,Top
2024-02-29,0.1111111111111111,Top
2024-03-01,0.5,Top
2024-03-04,0.2857142857142857,Top
2024-03-05,0.08333333333333333,Top
2024-03-06,0.2727272727272727,Top
2024-03-07,0.2,Top
2024-03-08,0.23076923076923078,Top
2024-03-11,0.2727272727272727,Top
2024-03-12,0.2222222222222222,Top
2024-03-13,0.3333333333333333,Top
2024-03-14,0.18181818181818182,Top
2024-03-15,0.23076923076923078,Top
2024-03-18,0.08333333333333333,Top
2024-03-28,0.14285714285714285,Top
2024-06-12,0.1111111111111111,Top
2024-06-18,0.14285714285714285,Top
2024-07-12,0.1,Top
2024-07-16,0.1111111111111111,Top
2025-03-31,0.14285714285714285,Bottom
2025-07-03,0.09090909090909091,Top
2025-07-08,0.2,Top
2025-07-10,0.07142857142857142,Top
2025-09-18,0.07692307692307693,Top
2025-09-30,0.06666666666666667,Top
2025-10-01,0.06666666666666667,Top
2025-10-02,0.16666666666666666,Top
2025-11-03,0.14285714285714285,Top
2025-11-04,0.09090909090909091,Top
2025-11-05,0.3333333333333333,Top
2025-11-07,0.1,Top
2025-11-10,0.1,Top
2026-02-25,0.1111111111111111,Top
2026-04-24,0.1111111111111111,Top
2026-05-01,0.16666666666666666,Top
2026-05-07,0.16666666666666666,Top
2026-05-12,0.25,Top
2026-05-27,0.5,Top
2026-05-28,0.16666666666666666,Top
2026-06-03,0.16666666666666666,Top
