Date,Value,Type
2019-12-27,0.125,Top
2019-12-30,0.125,Top
2019-12-31,0.16666666666666666,Top
2020-01-02,0.25,Top
2020-01-03,0.125,Top
2020-01-06,0.2,Top
2020-01-07,0.4,Top
2020-01-08,0.3333333333333333,Top
2020-01-09,0.5454545454545454,Top
2020-01-10,0.5,Top
2020-01-13,0.6363636363636364,Top
2020-01-14,0.46153846153846156,Top
2020-01-15,0.35714285714285715,Top
2020-01-16,0.3333333333333333,Top
2020-01-17,0.5,Top
2020-01-21,0.5,Top
2020-01-22,0.4166666666666667,Top
2020-01-23,0.5,Top
2020-01-24,0.25,Top
2020-01-27,0.16666666666666666,Top
2020-01-28,0.25,Top
2020-01-29,0.07692307692307693,Top
2020-01-31,0.07142857142857142,Top
2020-06-08,0.08333333333333333,Top
2020-08-05,0.06666666666666667,Top
2020-08-11,0.07142857142857142,Top
2020-08-13,0.07142857142857142,Top
2020-08-14,0.06666666666666667,Top
2020-08-18,0.14285714285714285,Top
2020-08-19,0.14285714285714285,Top
2020-08-20,0.15384615384615385,Top
2020-08-24,0.09090909090909091,Top
2020-08-26,0.18181818181818182,Top
2020-08-27,0.2,Top
2020-08-28,0.14285714285714285,Top
2020-08-31,0.18181818181818182,Top
2020-09-01,0.09090909090909091,Top
2020-09-02,0.1111111111111111,Top
2020-09-03,0.4,Top
2020-09-04,0.2222222222222222,Top
2021-01-13,0.1,Top
2021-01-14,0.07692307692307693,Top
2021-01-15,0.14285714285714285,Top
2021-01-20,0.2,Top
2021-01-22,0.16666666666666666,Top
2021-01-25,0.1111111111111111,Top
2021-01-26,0.14285714285714285,Top
2021-02-22,0.1,Top
2021-02-23,0.07692307692307693,Top
2021-07-12,0.07692307692307693,Top
2021-08-10,0.1,Top
2021-08-11,0.1,Top
2021-08-16,0.09090909090909091,Top
2021-08-24,0.08333333333333333,Top
2021-08-31,0.0625,Top
2021-11-08,0.125,Top
2022-08-16,0.16666666666666666,Top
2023-07-07,0.07142857142857142,Top
2023-07-12,0.1111111111111111,Top
2023-07-13,0.14285714285714285,Top
2023-07-14,0.14285714285714285,Top
2023-07-17,0.14285714285714285,Top
2023-07-18,0.09090909090909091,Top
2023-07-19,0.2857142857142857,Top
2023-07-20,0.14285714285714285,Top
2023-07-21,0.125,Top
2023-07-24,0.3,Top
2023-07-25,0.1,Top
2023-07-26,0.6363636363636364,Top
2023-07-27,0.125,Top
2023-07-28,0.42857142857142855,Top
2023-07-31,0.375,Top
2023-08-01,0.4,Top
2023-08-02,0.2222222222222222,Top
2023-08-03,0.3333333333333333,Top
2023-08-04,0.1,Top
2023-08-08,0.1111111111111111,Top
2023-12-29,0.1111111111111111,Top
2024-01-02,0.16666666666666666,Top
2024-02-08,0.1,Top
2024-02-09,0.3,Top
2024-02-12,0.16666666666666666,Top
2024-02-13,0.1,Top
2024-02-15,0.23076923076923078,Top
2024-02-16,0.2222222222222222,Top
2024-02-22,0.16666666666666666,Top
2024-02-23,0.18181818181818182,Top
2024-02-26,0.09090909090909091,Top
2024-02-27,0.3333333333333333,Top
2024-02-28,0.1,Top
2024-02-29,0.14285714285714285,Top
2024-03-01,0.1111111111111111,Top
2024-03-04,0.3,Top
2024-03-05,0.09090909090909091,Top
2024-03-06,0.3,Top
2024-03-07,0.2,Top
2024-03-08,0.1,Top
2024-03-11,0.07142857142857142,Top
2024-03-12,0.2727272727272727,Top
2024-03-13,0.1,Top
2024-03-14,0.08333333333333333,Top
2024-03-19,0.07692307692307693,Top
2024-03-21,0.06666666666666667,Top
2024-03-25,0.1111111111111111,Top
2024-04-02,0.08333333333333333,Top
2024-07-05,0.08333333333333333,Top
2024-07-08,0.09090909090909091,Top
2024-07-10,0.18181818181818182,Top
2024-07-15,0.08333333333333333,Top
2024-07-16,0.75,Top
2024-07-17,0.09090909090909091,Top
2024-07-18,0.1111111111111111,Top
2024-07-24,0.1,Top
2024-12-05,0.07692307692307693,Top
2024-12-06,0.1111111111111111,Top
2024-12-09,0.09090909090909091,Top
2024-12-11,0.1,Top
2024-12-12,0.23076923076923078,Top
2024-12-13,0.06666666666666667,Top
2024-12-16,0.09090909090909091,Top
2024-12-17,0.08333333333333333,Top
2024-12-18,0.08333333333333333,Top
2025-04-03,0.14285714285714285,Bottom
2025-07-09,0.14285714285714285,Top
2025-09-11,0.08333333333333333,Top
2025-09-22,0.06666666666666667,Top
2025-09-23,0.07692307692307693,Top
2025-09-25,0.08333333333333333,Top
2025-10-01,0.1,Top
2025-10-02,0.16666666666666666,Top
2025-10-03,0.1,Top
2025-10-07,0.08333333333333333,Top
2025-10-09,0.1,Top
2025-10-27,0.09090909090909091,Top
2025-10-28,0.06666666666666667,Top
2025-11-11,0.15384615384615385,Top
2025-11-12,0.08333333333333333,Top
2025-11-13,0.09090909090909091,Top
2025-11-14,0.07142857142857142,Top
2026-01-09,0.058823529411764705,Top
2026-01-16,0.07692307692307693,Top
2026-01-28,0.058823529411764705,Top
